     2.344   1538.177 # matmult_lib
    58.594   9328.123 # matmult_lib
   234.375  10549.698 # matmult_lib
   937.500  11995.190 # matmult_lib
  3750.000  11966.784 # matmult_lib
  8437.500  11921.029 # matmult_lib
 15000.000  12018.752 # matmult_lib
 23437.500  12045.779 # matmult_lib
 33750.000  12112.272 # matmult_lib
 45937.500  12085.010 # matmult_lib
 60000.000  12134.739 # matmult_lib
 75937.500  12103.518 # matmult_lib
 93750.000  12196.811 # matmult_lib
146484.375  12216.743 # matmult_lib
210937.500  12273.891 # matmult_lib
287109.375  12274.396 # matmult_lib
375000.000  12298.439 # matmult_lib
