     2.344   1487.862 # matmult_mnk
    58.594   2162.670 # matmult_mnk
   234.375   2018.402 # matmult_mnk
   937.500   1884.852 # matmult_mnk
  3750.000   1605.133 # matmult_mnk
  8437.500   1678.727 # matmult_mnk
 15000.000   1476.945 # matmult_mnk
 23437.500   1585.748 # matmult_mnk
 33750.000   1478.040 # matmult_mnk
 45937.500   1558.007 # matmult_mnk
 60000.000   1342.870 # matmult_mnk
 75937.500   1298.733 # matmult_mnk
 93750.000   1103.147 # matmult_mnk
146484.375    914.554 # matmult_mnk
210937.500    993.361 # matmult_mnk
287109.375    867.306 # matmult_mnk
375000.000    640.606 # matmult_mnk
