     2.344   1400.436 # matmult_mkn
    58.594   3744.297 # matmult_mkn
   234.375   3986.713 # matmult_mkn
   937.500   3899.930 # matmult_mkn
  3750.000   3912.355 # matmult_mkn
  8437.500   3953.006 # matmult_mkn
 15000.000   3992.470 # matmult_mkn
 23437.500   3961.354 # matmult_mkn
 33750.000   3928.734 # matmult_mkn
 45937.500   3758.417 # matmult_mkn
 60000.000   3150.148 # matmult_mkn
 75937.500   2502.000 # matmult_mkn
 93750.000   2293.943 # matmult_mkn
146484.375   2014.858 # matmult_mkn
210937.500   1986.502 # matmult_mkn
287109.375   1963.044 # matmult_mkn
375000.000   1958.107 # matmult_mkn
