     2.344   1316.779 # matmult_blk 2
     2.344   1306.367 # matmult_blk 4
     2.344   1382.771 # matmult_blk 8
     2.344   1420.759 # matmult_blk 12
     2.344   1425.959 # matmult_blk 16
     2.344   1416.863 # matmult_blk 24
     2.344   1412.585 # matmult_blk 32
     2.344   1416.178 # matmult_blk 64
     2.344   1423.198 # matmult_blk 128
     2.344   1420.538 # matmult_blk 192
     2.344   1418.476 # matmult_blk 256
    58.594   1978.083 # matmult_blk 2
    58.594   1976.445 # matmult_blk 4
    58.594   2013.587 # matmult_blk 8
    58.594   2012.554 # matmult_blk 12
    58.594   2013.356 # matmult_blk 16
    58.594   2016.872 # matmult_blk 24
    58.594   2016.526 # matmult_blk 32
    58.594   2017.552 # matmult_blk 64
    58.594   2021.872 # matmult_blk 128
    58.594   2017.885 # matmult_blk 192
    58.594   2025.873 # matmult_blk 256
   234.375   1786.120 # matmult_blk 2
   234.375   1864.986 # matmult_blk 4
   234.375   1871.098 # matmult_blk 8
   234.375   1874.353 # matmult_blk 12
   234.375   1879.254 # matmult_blk 16
   234.375   1869.195 # matmult_blk 24
   234.375   1865.241 # matmult_blk 32
   234.375   1868.276 # matmult_blk 64
   234.375   1868.177 # matmult_blk 128
   234.375   1868.271 # matmult_blk 192
   234.375   1858.032 # matmult_blk 256
   937.500   1707.294 # matmult_blk 2
   937.500   1736.216 # matmult_blk 4
   937.500   1736.920 # matmult_blk 8
   937.500   1735.502 # matmult_blk 12
   937.500   1733.195 # matmult_blk 16
   937.500   1739.289 # matmult_blk 24
   937.500   1739.133 # matmult_blk 32
   937.500   1741.952 # matmult_blk 64
   937.500   1743.773 # matmult_blk 128
   937.500   1746.086 # matmult_blk 192
   937.500   1739.335 # matmult_blk 256
  3750.000   1548.389 # matmult_blk 2
  3750.000   1588.546 # matmult_blk 4
  3750.000   1626.584 # matmult_blk 8
  3750.000   1639.128 # matmult_blk 12
  3750.000   1652.917 # matmult_blk 16
  3750.000   1653.170 # matmult_blk 24
  3750.000   1652.200 # matmult_blk 32
  3750.000   1666.344 # matmult_blk 64
  3750.000   1663.092 # matmult_blk 128
  3750.000   1654.300 # matmult_blk 192
  3750.000   1637.716 # matmult_blk 256
  8437.500   1552.631 # matmult_blk 2
  8437.500   1595.679 # matmult_blk 4
  8437.500   1572.618 # matmult_blk 8
  8437.500   1591.391 # matmult_blk 12
  8437.500   1601.256 # matmult_blk 16
  8437.500   1621.697 # matmult_blk 24
  8437.500   1635.632 # matmult_blk 32
  8437.500   1661.642 # matmult_blk 64
  8437.500   1636.740 # matmult_blk 128
  8437.500   1591.116 # matmult_blk 192
  8437.500   1563.609 # matmult_blk 256
 15000.000   1386.063 # matmult_blk 2
 15000.000   1410.503 # matmult_blk 4
 15000.000   1493.618 # matmult_blk 8
 15000.000   1544.269 # matmult_blk 12
 15000.000   1570.800 # matmult_blk 16
 15000.000   1610.037 # matmult_blk 24
 15000.000   1624.190 # matmult_blk 32
 15000.000   1640.581 # matmult_blk 64
 15000.000   1612.040 # matmult_blk 128
 15000.000   1480.531 # matmult_blk 192
 15000.000   1405.925 # matmult_blk 256
 23437.500   1251.534 # matmult_blk 2
 23437.500   1362.250 # matmult_blk 4
 23437.500   1493.997 # matmult_blk 8
 23437.500   1555.145 # matmult_blk 12
 23437.500   1587.157 # matmult_blk 16
 23437.500   1618.478 # matmult_blk 24
 23437.500   1629.451 # matmult_blk 32
 23437.500   1653.255 # matmult_blk 64
 23437.500   1576.527 # matmult_blk 128
 23437.500   1471.473 # matmult_blk 192
 23437.500   1462.335 # matmult_blk 256
 33750.000   1194.764 # matmult_blk 2
 33750.000   1371.852 # matmult_blk 4
 33750.000   1507.079 # matmult_blk 8
 33750.000   1566.187 # matmult_blk 12
 33750.000   1588.633 # matmult_blk 16
 33750.000   1615.934 # matmult_blk 24
 33750.000   1633.065 # matmult_blk 32
 33750.000   1621.221 # matmult_blk 64
 33750.000   1435.991 # matmult_blk 128
 33750.000   1378.407 # matmult_blk 192
 33750.000   1364.252 # matmult_blk 256
 45937.500   1122.010 # matmult_blk 2
 45937.500   1339.969 # matmult_blk 4
 45937.500   1487.878 # matmult_blk 8
 45937.500   1548.468 # matmult_blk 12
