2.344;509.335;#;matmult_blk;2;;;509.335
2.344;812.347;#;matmult_blk;4;;;812.347
2.344;1008.157;#;matmult_blk;8;;;1.008.157
2.344;1437.557;#;matmult_blk;12;;;1.437.557
2.344;1474.678;#;matmult_blk;16;;;1.474.678
2.344;1466.842;#;matmult_blk;24;;;1.466.842
2.344;1450.538;#;matmult_blk;32;;;1.450.538
2.344;1464.333;#;matmult_blk;64;;;1.464.333
2.344;1462.408;#;matmult_blk;128;;;1.462.408
2.344;1466.494;#;matmult_blk;192;;;1.466.494
2.344;1463.988;#;matmult_blk;256;;;1.463.988
2.344;1467.58;#;matmult_blk;400;;;1.467.580
2.344;1463.612;#;matmult_blk;512;;;1.463.612
2.344;1445.64;#;matmult_blk;700;;;1.445.640
2.344;1460.921;#;matmult_blk;850;;;1.460.921
2.344;1467.626;#;matmult_blk;1024;;;1.467.626
2.344;1469.535;#;matmult_blk;1200;;;1.469.535
2.344;1464.579;#;matmult_blk;1500;;;1.464.579
2.344;1468.848;#;matmult_blk;2048;;;1.468.848
2.344;1456.032;#;matmult_blk;2500;;;1.456.032
2.344;1518.509;#;matmult_blk;3000;;;1.518.509
58.594;700.679;#;matmult_blk;2;;;700.679
58.594;1531.457;#;matmult_blk;4;;;1.531.457
58.594;2245.981;#;matmult_blk;8;;;2.245.981
58.594;3470.646;#;matmult_blk;12;;;3.470.646
58.594;3762.925;#;matmult_blk;16;;;3.762.925
58.594;4487.093;#;matmult_blk;24;;;4.487.093
58.594;5150.107;#;matmult_blk;32;;;5.150.107
58.594;6118.545;#;matmult_blk;64;;;6.118.545
58.594;6121.134;#;matmult_blk;128;;;6.121.134
58.594;6119.467;#;matmult_blk;192;;;6.119.467
58.594;6108.929;#;matmult_blk;256;;;6.108.929
58.594;6129.614;#;matmult_blk;400;;;6.129.614
58.594;6113.823;#;matmult_blk;512;;;6.113.823
58.594;6079.927;#;matmult_blk;700;;;6.079.927
58.594;6127.122;#;matmult_blk;850;;;6.127.122
58.594;6102.004;#;matmult_blk;1024;;;6.102.004
58.594;6145.609;#;matmult_blk;1200;;;6.145.609
58.594;6098.76;#;matmult_blk;1500;;;6.098.760
58.594;6133.374;#;matmult_blk;2048;;;6.133.374
58.594;6120.01;#;matmult_blk;2500;;;6.120.010
58.594;6123.105;#;matmult_blk;3000;;;6.123.105
234.375;707.397;#;matmult_blk;2;;;707.397
234.375;1593.477;#;matmult_blk;4;;;1.593.477
234.375;2391.325;#;matmult_blk;8;;;2.391.325
234.375;3710.445;#;matmult_blk;12;;;3.710.445
234.375;3767.984;#;matmult_blk;16;;;3.767.984
234.375;4552.211;#;matmult_blk;24;;;4.552.211
234.375;4906.21;#;matmult_blk;32;;;4.906.210
234.375;5722.102;#;matmult_blk;64;;;5.722.102
234.375;6247.31;#;matmult_blk;128;;;6.247.310
234.375;6254.218;#;matmult_blk;192;;;6.254.218
234.375;6177.891;#;matmult_blk;256;;;6.177.891
234.375;6194.268;#;matmult_blk;400;;;6.194.268
234.375;6155.446;#;matmult_blk;512;;;6.155.446
234.375;6224.786;#;matmult_blk;700;;;6.224.786
234.375;6232.334;#;matmult_blk;850;;;6.232.334
234.375;6260.483;#;matmult_blk;1024;;;6.260.483
234.375;6195.414;#;matmult_blk;1200;;;6.195.414
234.375;6254.615;#;matmult_blk;1500;;;6.254.615
234.375;6142.807;#;matmult_blk;2048;;;6.142.807
234.375;6220.981;#;matmult_blk;2500;;;6.220.981
234.375;6208.184;#;matmult_blk;3000;;;6.208.184
937.500;662.682;#;matmult_blk;2;;;662.682
937.500;1509.761;#;matmult_blk;4;;;1.509.761
937.500;2258.258;#;matmult_blk;8;;;2.258.258
937.500;3552.17;#;matmult_blk;12;;;3.552.170
937.500;3863.898;#;matmult_blk;16;;;3.863.898
937.500;4630.097;#;matmult_blk;24;;;4.630.097
937.500;5046.078;#;matmult_blk;32;;;5.046.078
937.500;5291.707;#;matmult_blk;64;;;5.291.707
