     2.344   1476.951 # matmult_mkn
    58.594   3240.845 # matmult_mkn
   234.375   3372.512 # matmult_mkn
   937.500   3370.339 # matmult_mkn
  3750.000   3192.305 # matmult_mkn
  8437.500   3208.902 # matmult_mkn
 15000.000   3161.068 # matmult_mkn
 23437.500   3179.107 # matmult_mkn
 33750.000   3206.729 # matmult_mkn
 45937.500   2608.309 # matmult_mkn
 60000.000   2150.851 # matmult_mkn
 75937.500   1937.392 # matmult_mkn
 93750.000   1952.130 # matmult_mkn
146484.375   1864.082 # matmult_mkn
210937.500   1872.770 # matmult_mkn
287109.375   1888.136 # matmult_mkn
375000.000   1852.534 # matmult_mkn
