     2.344   1113.654 # matmult_mkn
    58.594   1929.163 # matmult_mkn
   234.375   1842.513 # matmult_mkn
   937.500   1892.993 # matmult_mkn
  3750.000   1872.435 # matmult_mkn
  8437.500   1916.434 # matmult_mkn
 15000.000   1902.542 # matmult_mkn
 23437.500   1896.574 # matmult_mkn
 33750.000   1914.719 # matmult_mkn
 45937.500   1852.786 # matmult_mkn
 60000.000   1746.339 # matmult_mkn
 75937.500   1603.508 # matmult_mkn
 93750.000   1541.723 # matmult_mkn
146484.375   1490.800 # matmult_mkn
210937.500   1471.996 # matmult_mkn
287109.375   1456.359 # matmult_mkn
375000.000   1464.355 # matmult_mkn
