     2.344   1375.415 # matmult_knm
    58.594   2572.669 # matmult_knm
   234.375   2420.438 # matmult_knm
   937.500   1783.830 # matmult_knm
  3750.000   1165.557 # matmult_knm
  8437.500   1212.772 # matmult_knm
 15000.000   1087.526 # matmult_knm
 23437.500   1280.630 # matmult_knm
 33750.000   1128.143 # matmult_knm
 45937.500   1271.018 # matmult_knm
 60000.000    734.293 # matmult_knm
 75937.500    986.512 # matmult_knm
 93750.000    870.071 # matmult_knm
146484.375    699.024 # matmult_knm
210937.500    832.800 # matmult_knm
287109.375    620.334 # matmult_knm
375000.000    365.913 # matmult_knm
